"exposure","outcome","beta","se","t_value","p_value","n","df","weight","p_fdr","sig_fdr05","sig_fdr01"
"log_LBXBGM","LBXSTR",-1.87808187898751,1.37469956812126,-1.3661762340947,0.214150128719024,4833,7,"WTMEC2YR",0.428300257438048,FALSE,FALSE
"log_LBXVBZ","LBXSUA",-0.0713396197801974,0.0532128394398011,-1.34064674111034,0.221908047262822,2319,7,"WTMEC2YR",0.438594728707695,FALSE,FALSE
"log_URXUDMA","LBDHDD",-0.761235842804904,0.59277226274901,-1.28419612495807,0.239939864951565,1597,7,"WTSA2YR",0.463811140831756,FALSE,FALSE
"log_URXUP8","eGFR",-0.805429885809992,0.627552803020922,-1.28344560319515,0.240187912216445,1579,7,"WTSA2YR",0.463811140831756,FALSE,FALSE
"log_LBXBGM","LBXSNASI",-0.12881321487617,0.101184823757957,-1.27304876454895,0.243646867233122,4836,7,"WTMEC2YR",0.465144019263233,FALSE,FALSE
"log_URXUP8","LBXRBCSI",0.01648109533241,0.0132801821705412,1.24102931125217,0.254569385206806,1589,7,"WTSA2YR",0.480535468704983,FALSE,FALSE
"log_SSGLYP","LBXWBCSI",-0.119004224099769,0.0967635893619948,-1.22984507793083,0.258481734930425,1387,7,"WTSSBJ2Y",0.480963016913663,FALSE,FALSE
"log_LBXBGM","LBXSCLSI",-0.099024000347292,0.0808973006238848,-1.2240705138937,0.260521634161567,4836,7,"WTMEC2YR",0.480963016913663,FALSE,FALSE
"log_URXUP8","LBXSUA",0.0518319709003875,0.0458583135103532,1.13026334665983,0.295600572918933,1579,7,"WTSA2YR",0.538024007240812,FALSE,FALSE
"log_URXUP8","LBXHSCRP",-0.228241029301822,0.203974509093979,-1.11896839617671,0.300076031999945,1577,7,"WTSA2YR",0.538024007240812,FALSE,FALSE
"log_URXUIO","LBXWBCSI",0.117760043560422,0.105466780649311,1.11656052109894,0.301037242146645,1600,7,"WTSA2YR",0.538024007240812,FALSE,FALSE
"log_URXUDMA","LBXRBCSI",0.0225145562002864,0.020453848183413,1.10074915968842,0.307411535326513,1603,7,"WTSA2YR",0.542983608387052,FALSE,FALSE
"log_URXUP8","LBXSGB",-0.0166761130846691,0.0153571497519579,-1.08588594589585,0.313502963935147,1579,7,"WTSA2YR",0.542983608387052,FALSE,FALSE
"log_URXUP8","LBXSC3SI",-0.107697862771479,0.0991809191914878,-1.08587280345272,0.313508392937762,1579,7,"WTSA2YR",0.542983608387052,FALSE,FALSE
"log_URXUIO","LBXGLU",2.12800707405953,1.99659570875689,1.065817713985,0.321881461337092,781,7,"WTSA2YR",0.551796790863586,FALSE,FALSE
"log_URXUDMA","LBXHSCRP",-0.13616423768918,0.130900847147197,-1.0402089876169,0.332831892397913,1591,7,"WTSA2YR",0.564805635584337,FALSE,FALSE
"log_URXUDMA","LBXSASSI",-0.637592877800981,0.619566200965633,-1.02909564273721,0.337674907506478,1587,7,"WTSA2YR",0.567293844610883,FALSE,FALSE
"log_URXUIO","LBXSCH",-1.69172061580929,1.65945861351273,-1.01944128165285,0.341926997130275,1590,7,"WTSA2YR",0.568749856612734,FALSE,FALSE
"log_SSGLYP","PHQ9_total",0.139991881217709,0.139799801056165,1.00137396591477,0.349996949499875,1307,7,"WTSSBJ2Y",0.5740935005482,FALSE,FALSE
"log_URXUDMA","LBXSTP",0.0144119782156987,0.0144553842019615,0.996997244372316,0.351973991407527,1593,7,"WTSA2YR",0.5740935005482,FALSE,FALSE
"log_LBXVBZ","LBXRBCSI",-0.0173918966404767,0.0179524853970157,-0.96877375226094,0.364931214149138,2327,7,"WTMEC2YR",0.584803041920256,FALSE,FALSE
"log_URXUP8","LBXSTP",-0.0120504719016382,0.0124546437128235,-0.967548504758176,0.36550190120016,1579,7,"WTSA2YR",0.584803041920256,FALSE,FALSE
"log_SSGLYP","LBXSGB",-0.0156808133865712,0.0182794271567013,-0.857839430751666,0.419380340080174,1371,7,"WTSSBJ2Y",0.65641247133448,FALSE,FALSE
"log_URXUIO","LBXTC",-1.44830860369784,1.68957856457152,-0.857201099769594,0.419709950785931,1594,7,"WTSA2YR",0.65641247133448,FALSE,FALSE
"log_URXUP8","LBXTC",1.4791365808508,1.734415246316,0.852815716416567,0.42197944585788,1583,7,"WTSA2YR",0.65641247133448,FALSE,FALSE
"log_LBXVBZ","LBDHDD",-0.526710311022084,0.635020850292072,-0.829437822049196,0.434226311543312,2325,7,"WTMEC2YR",0.669266241644738,FALSE,FALSE
"log_URXUIO","LBXSATSI",0.385250852076036,0.472239687002477,0.815795162243564,0.441488609711118,1589,7,"WTSA2YR",0.674273513013344,FALSE,FALSE
"log_LBXBGM","LBXGLU",0.51217499671025,0.662167508614378,0.773482525263138,0.464551249457888,2362,7,"WTMEC2YR",0.696119356300117,FALSE,FALSE
"log_SSGLYP","LBXHGB",-0.0428214875149486,0.0558312005952512,-0.766981312570785,0.468166638148466,1387,7,"WTSSBJ2Y",0.696119356300117,FALSE,FALSE
"log_SSGLYP","eGFR",-0.565719833790445,0.739895611100313,-0.764594120174807,0.469498964537831,1373,7,"WTSSBJ2Y",0.696119356300117,FALSE,FALSE
"log_SSGLYP","LBXSASSI",-0.316233502414371,0.416386334874462,-0.759471375326747,0.472366706060794,1369,7,"WTSSBJ2Y",0.696119356300117,FALSE,FALSE
"log_URXUDMA","LBXSTR",3.55383907179421,4.84670243199193,0.733248868000677,0.487230648763556,1593,7,"WTSA2YR",0.711780426019803,FALSE,FALSE
"log_LBXVBZ","LBXHSCRP",-0.477019545637422,0.674153164831076,-0.707583336432084,0.502075620832062,2320,7,"WTMEC2YR",0.715814808784235,FALSE,FALSE
"log_LBXVBZ","LBXSASSI",0.31632861821019,0.448711130248534,0.704971632941178,0.503602566288425,2313,7,"WTMEC2YR",0.715814808784235,FALSE,FALSE
"log_URXUIO","LBXSGB",-0.00796959854859924,0.0113558999259512,-0.701802463967353,0.505459469184569,1590,7,"WTSA2YR",0.715814808784235,FALSE,FALSE
"log_URXUIO","LBXRBCSI",-0.0107200657589824,0.0153675267381606,-0.697579118724573,0.507940903699511,1600,7,"WTSA2YR",0.715814808784235,FALSE,FALSE
"log_LBXBGM","LBXSKSI",-0.00640725464566179,0.00927819514685991,-0.690571231176382,0.512075656014315,4833,7,"WTMEC2YR",0.715814808784235,FALSE,FALSE
"log_URXUDMA","LBXGH",-0.0223902290745714,0.032700851691915,-0.684698652057042,0.515557094421979,1603,7,"WTSA2YR",0.715814808784235,FALSE,FALSE
"log_URXUP8","LBDHDD",-0.466857336275916,0.700645474302618,-0.666324629785982,0.526546589047661,1583,7,"WTSA2YR",0.725080548852516,FALSE,FALSE
"log_URXUDMA","PHQ9_total",-0.142470183921078,0.218564648840518,-0.651844590041802,0.535309720946859,1497,7,"WTSA2YR",0.725359279290336,FALSE,FALSE
"log_URXUP8","LBXSCH",1.19632730384694,1.83564021057659,0.651722105973678,0.535384229952391,1579,7,"WTSA2YR",0.725359279290336,FALSE,FALSE
"log_URXUIO","LBXSUA",0.0359959122375259,0.0564500778803314,0.637659213045439,0.543981388378544,1590,7,"WTSA2YR",0.731110985980764,FALSE,FALSE
"log_LBXVBZ","LBXSKSI",0.0142643683620486,0.0227085723815771,0.628149058530024,0.549842768299767,2319,7,"WTMEC2YR",0.733123691066355,FALSE,FALSE
"log_URXUP8","PHQ9_total",0.148957112075912,0.252065679238276,0.590945631813303,0.573134829375136,1487,7,"WTSA2YR",0.758162608937188,FALSE,FALSE
"log_URXUDMA","eGFR",-0.264580329229678,0.482105364234963,-0.54880187788313,0.600200216782057,1593,7,"WTSA2YR",0.786405555662395,FALSE,FALSE
"log_LBXVBZ","LBXSTP",0.00757354397513552,0.0139859343067252,0.541511479250533,0.604953567872447,2319,7,"WTMEC2YR",0.786405555662395,FALSE,FALSE
"log_URXUDMA","LBXSCH",-1.02904753484611,1.93384254810762,-0.532125811304078,0.61110338748336,1593,7,"WTSA2YR",0.786405555662395,FALSE,FALSE
"log_URXUDMA","BMXBMI",0.204536962937928,0.388915418769899,0.525916312561889,0.613209093998654,1603,8,"WTSA2YR",0.786405555662395,FALSE,FALSE
"log_LBXVBZ","LBXSNASI",0.0656029722068229,0.126347811559567,0.519225235459611,0.619611428988925,2320,7,"WTMEC2YR",0.788596364167722,FALSE,FALSE
"log_SSGLYP","BMXWAIST",0.24010203948762,0.481932700863744,0.49820657336034,0.631744337389448,1342,8,"WTSSBJ2Y",0.793633435245946,FALSE,FALSE
"log_SSGLYP","LBXRBCSI",-0.00954275070637109,0.0191203537475747,-0.499088606432374,0.633017144779505,1387,7,"WTSSBJ2Y",0.793633435245946,FALSE,FALSE
"log_SSGLYP","LBXHSCRP",-0.116165738643408,0.239142201031345,-0.48576009647156,0.641972912974007,1371,7,"WTSSBJ2Y",0.79889962503432,FALSE,FALSE
"log_URXUDMA","LBXWBCSI",-0.042528196921149,0.0982250303679572,-0.432967002014005,0.678066098779108,1603,7,"WTSA2YR",0.837611063197721,FALSE,FALSE
"log_LBXVBZ","BMXBMI",-0.11435010242387,0.30138988301935,-0.379409226608075,0.714256933103406,2329,8,"WTMEC2YR",0.875877115046513,FALSE,FALSE
"log_SSGLYP","LBDHDD",-0.17766603682089,0.482971086255991,-0.367860606725266,0.723848433773656,1384,7,"WTSSBJ2Y",0.881011646788803,FALSE,FALSE
"log_URXUDMA","LBXSPH",-0.0083452867142381,0.0231336105590194,-0.360742941226026,0.728932255378831,1593,7,"WTSA2YR",0.881011646788803,FALSE,FALSE
"log_URXUDMA","LBXTC",-0.642058684759499,1.89697833341357,-0.338463899903447,0.744938860172351,1597,7,"WTSA2YR",0.889004554813415,FALSE,FALSE
"log_URXUP8","LBXSASSI",-0.180909460522557,0.537117706279909,-0.336815298411107,0.746128822789831,1573,7,"WTSA2YR",0.889004554813415,FALSE,FALSE
"log_URXUDMA","LBXPLTSI",0.892981856317299,2.72638373414075,0.327533444810083,0.752842261780983,1603,7,"WTSA2YR",0.890686619571867,FALSE,FALSE
"log_URXUP8","LBXSAPSI",-0.172692472518948,0.540164700446743,-0.319703365244198,0.758523569524161,1578,7,"WTSA2YR",0.891132585175239,FALSE,FALSE
"log_LBXVBZ","LBXSCLSI",-0.0392852769032453,0.131730390162837,-0.298224858020107,0.774189177475554,2320,7,"WTMEC2YR",0.894167814862307,FALSE,FALSE
"log_LBXVBZ","LBXSATSI",-0.257409687492696,0.874557954726066,-0.294331194521378,0.777041445324034,2318,7,"WTMEC2YR",0.894167814862307,FALSE,FALSE
"log_URXUDMA","LBXSKSI",-0.00514093513530971,0.0174691668701947,-0.294286222892575,0.777074410535101,1592,7,"WTSA2YR",0.894167814862307,FALSE,FALSE
"log_URXUIO","LBXSAPSI",0.168878405253466,0.636870838728217,0.265169002855749,0.798518358328992,1589,7,"WTSA2YR",0.903845013446536,FALSE,FALSE
"log_URXUDMA","BMXWAIST",0.26153103387102,1.00194842782594,0.261022450465339,0.800668900097406,1553,8,"WTSA2YR",0.903845013446536,FALSE,FALSE
"log_SSGLYP","LBXSTR",0.774920158646025,2.96934857820088,0.260973118594095,0.801624446449606,1371,7,"WTSSBJ2Y",0.903845013446536,FALSE,FALSE
"log_SSGLYP","LBXSATSI",0.130408491803632,0.561753256869931,0.232145501977617,0.823065832701261,1373,7,"WTSSBJ2Y",0.908528940682349,FALSE,FALSE
"log_LBXVBZ","LBXGH",-0.0080725149308688,0.0354885450233646,-0.22746818517226,0.826560618670994,2328,7,"WTMEC2YR",0.908528940682349,FALSE,FALSE
"log_URXUIO","eGFR",-0.13833967189866,0.621334274801067,-0.222649349165475,0.830165558022972,1590,7,"WTSA2YR",0.908528940682349,FALSE,FALSE
"log_LBXVBZ","LBXSGB",0.0016311734325156,0.00740384943062451,0.220314236236164,0.83191402578806,2319,7,"WTMEC2YR",0.908528940682349,FALSE,FALSE
"log_URXUDMA","LBXSC3SI",-0.020207689244009,0.0943073220255804,-0.214274870815733,0.836440846463386,1593,7,"WTSA2YR",0.908528940682349,FALSE,FALSE
"log_URXUP8","LBXHGB",-0.0085012242786788,0.0401198802524801,-0.211895554652192,0.838226105986691,1589,7,"WTSA2YR",0.908528940682349,FALSE,FALSE
"log_URXUP8","LBXWBCSI",-0.0201580379928179,0.126853373452245,-0.1589081744082,0.878228773572087,1589,7,"WTSA2YR",0.945784833077632,FALSE,FALSE
"log_URXUIO","LBXPLTSI",-0.351284935199243,2.4430990622082,-0.143786611289406,0.889720834977884,1600,7,"WTSA2YR",0.952057963543214,FALSE,FALSE
"log_URXUIO","LBXGH",-0.00397653194152273,0.0353292853501667,-0.112556251905729,0.913542181154005,1600,7,"WTSA2YR",0.969244261136344,FALSE,FALSE
"log_LBXVBZ","LBXSPH",0.00298360996507431,0.0277753938630272,0.107419177556502,0.917470410384359,2319,7,"WTMEC2YR",0.969244261136344,FALSE,FALSE
"log_URXUDMA","LBXHGB",0.00476929262690075,0.0476825597118644,0.100021740773159,0.92313141491846,1603,7,"WTSA2YR",0.969244261136344,FALSE,FALSE
"log_LBXVBZ","BMXWAIST",0.0565399560171979,0.677779197890059,0.0834194324541207,0.935567633065395,2242,8,"WTMEC2YR",0.969244261136344,FALSE,FALSE
"log_SSGLYP","LBXSC3SI",0.00753639103274727,0.0954816596751963,0.0789302475300923,0.93929708223195,1371,7,"WTSSBJ2Y",0.969244261136344,FALSE,FALSE
"log_URXUIO","LBXSKSI",0.00119776625962038,0.0171396364162059,0.0698828277645297,0.94624141852774,1589,7,"WTSA2YR",0.969244261136344,FALSE,FALSE
"log_LBXBGM","LBXSASSI",-0.0205791784994157,0.315624767708084,-0.0652014056084758,0.949836648520103,4821,7,"WTMEC2YR",0.969244261136344,FALSE,FALSE
"log_URXUIO","LBXSASSI",-0.0206635531318324,0.330785510640381,-0.0624681325727629,0.951936327901767,1584,7,"WTSA2YR",0.969244261136344,FALSE,FALSE
"log_URXUP8","LBXGH",0.000817489073434373,0.0278437205283585,0.0293599080123567,0.977397083961492,1589,7,"WTSA2YR",0.988712263433715,FALSE,FALSE
"log_URXUP8","LBXSTB",0.000278251588765828,0.01247478920779,0.0223051134677347,0.982827071389467,1579,7,"WTSA2YR",0.988712263433715,FALSE,FALSE
"log_LBXBGM","LBXSC3SI",-0.000757287006869715,0.0598933098016684,-0.0126439331768007,0.990264684095454,4833,7,"WTMEC2YR",0.990264684095454,FALSE,FALSE
